season,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_ppda,away_ppda,home_deep,away_deep,Result,home_points,away_points,home_rolling_goals_created,away_rolling_goals_created,home_rolling_goals_conceded,away_rolling_goals_conceded,home_rolling_xg_created,away_rolling_xg_created,home_rolling_xg_conceded,away_rolling_xg_conceded,home_rolling_ppda_created,away_rolling_ppda_created,home_rolling_ppda_conceded,away_rolling_ppda_conceded,home_rolling_winrate,away_rolling_winrate,home_rolling_xg_home_only,away_rolling_xg_away_only,home_rolling_goals_home_only,away_rolling_goals_away_only,points_diff,rolling_xG_diff,rolling_ppda_diff,rolling_goals_diff,rolling_winrate_diff,home_squad_value,away_squad_value,squad_value_ratio,squad_value_diff,target
2016/17,2016-09-17,Monaco,Rennes,3,0,1.8553,0.2074,17,5,7,3,8.0444,12.0,4,2,H,10.0,7.0,,,,,,,,,,,,,,,,,,,3.0,,,,,309550000.0,80900000.0,3.826328800988875,228650000.0,0
2016/17,2016-09-17,Nancy,Nantes,1,1,0.3299,1.5231,9,14,2,5,9.3448,10.4706,2,7,D,3.0,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,33100000.0,50900000.0,0.650294695481336,-17800000.0,1
2016/17,2016-09-17,Toulouse,Guingamp,2,1,1.7005,0.9213,13,5,5,3,8.8095,20.0,9,1,H,5.0,8.0,,,,,,,,,,,,,,,,,,,-3.0,,,,,77300000.0,42500000.0,1.8188235294117647,34800000.0,0
2016/17,2016-09-17,Bordeaux,Angers,0,1,0.713,1.139,11,5,4,5,7.7143,11.3333,3,3,A,9.0,3.0,,,,,,,,,,,,,,,,,,,6.0,,,,,88900000.0,46080000.0,1.9292534722222223,42820000.0,2
2016/17,2016-09-17,Dijon,Metz,0,0,1.6812,0.9737,15,7,6,3,4.8846,9.625,3,5,D,3.0,9.0,,,,,,,,,,,,,,,,,,,-6.0,,,,,31200000.0,37550000.0,0.8308921438082557,-6350000.0,1
2016/17,2016-09-17,Lorient,Lille,1,0,1.2905,0.5211,9,10,4,0,19.8182,8.4,3,3,H,0.0,4.0,,,,,,,,,,,,,,,,,,,-4.0,,,,,61100000.0,83900000.0,0.7282479141835518,-22800000.0,0
2016/17,2016-09-18,Montpellier,Nice,1,1,2.3284,1.0877,15,9,5,4,7.1923,15.6875,5,4,D,5.0,10.0,,,,,,,,,,,,,,,,,,,-5.0,,,,,60950000.0,132800000.00000001,0.4589608433734939,-71850000.00000001,1
2016/17,2016-09-18,Saint-Etienne,SC Bastia,1,0,2.2449,0.9915,13,8,3,3,3.2286,17.5294,11,3,H,5.0,6.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,85030000.0,36450000.0,2.33278463648834,48580000.0,0
2016/17,2016-09-18,Marseille,Lyon,0,0,0.7936,0.9806,13,14,2,1,7.5152,5.1081,5,4,D,4.0,6.0,,,,,,,,,,,,,,,,,,,-2.0,,,,,119650000.0,211350000.0,0.5661225455405725,-91700000.0,1
2016/17,2016-09-20,Lille,Toulouse,1,2,0.7658,1.4716,19,7,5,2,6.0,9.6875,4,5,A,4.0,8.0,1.0,1.4,1.8,0.8,0.87432,0.87964,1.46844,0.6787,10.48796,6.9667,12.9786,8.08266,0.2,0.4,,,,,-4.0,-0.005319999999999991,3.521259999999999,-0.3999999999999999,-0.2,83900000.0,77300000.0,1.0853816300129366,6600000.0,2
